Source;Target;Weight
Simple incision;Stamped impression;1
Simple incision;Paddled impression;1
Simple incision;Pivoting incision;1
Simple incision;Decorative scraping;1
Simple incision;Excisions;1
Simple incision;Incrustation;1
Simple incision;Application;1
Simple incision;Decorative modelling;1
Pivoting incision;Drying to leather-hard;1
Pivoting incision;Drying to dry;1
Pivoting incision;Softening;1
Pivoting incision;Burnishing;1
Pivoting incision;Shining;1
Pivoting incision;Clay coating;1
Pivoting incision;Organic coating;1
Pivoting incision;Graphite coating;1
Pivoting incision;Silica coating;1
Pivoting incision;Painting;1
Pivoting incision;Simple impression;1
Pivoting incision;Tilted impression;1
Pivoting incision;Rolled impression;1
Pivoting incision;Stamped impression;1
Pivoting incision;Paddled impression;1
Pivoting incision;Simple incision;1
Pivoting incision;Decorative scraping;1
Pivoting incision;Excisions;1
Pivoting incision;Incrustation;1
Pivoting incision;Application;1
Pivoting incision;Decorative modelling;1
Decorative scraping;Drying to leather-hard;1
Decorative scraping;Drying to dry;1
Decorative scraping;Softening;1
Decorative scraping;Burnishing;1
Decorative scraping;Shining;1
Decorative scraping;Clay coating;1
Decorative scraping;Organic coating;1
Decorative scraping;Graphite coating;1
Decorative scraping;Silica coating;1
Decorative scraping;Painting;1
Decorative scraping;Simple impression;1
Decorative scraping;Tilted impression;1
Decorative scraping;Rolled impression;1
Decorative scraping;Stamped impression;1
Decorative scraping;Paddled impression;1
Decorative scraping;Simple incision;1
Decorative scraping;Pivoting incision;1
Decorative scraping;Excisions;1
Decorative scraping;Incrustation;1
Decorative scraping;Application;1
Decorative scraping;Decorative modelling;1
Engraving;Organic coating;1
Engraving;Silica coating;1
Engraving;Smudging;1
Engraving;Painting;1
Engraving;Incrustation;1
Engraving;Open firing;1
Engraving;Enclosed firing;1
Engraving;Direct flame kilns;1
Engraving;Indirect flame kilns;1
Engraving;Radiant heat kilns;1
Excisions;Drying to leather-hard;1
Excisions;Drying to dry;1
Excisions;Softening;1
Excisions;Burnishing;1
Excisions;Shining;1
Excisions;Clay coating;1
Excisions;Painting;1
Excisions;Simple impression;1
Excisions;Tilted impression;1
Excisions;Rolled impression;1
Excisions;Stamped impression;1
Excisions;Paddled impression;1
Excisions;Simple incision;1
Excisions;Pivoting incision;1
Excisions;Decorative scraping;1
Excisions;Incrustation;1
Excisions;Application;1
Excisions;Decorative modelling;1
Incrustation;Drying to dry;1
Incrustation;Softening;1
Incrustation;Burnishing;1
Incrustation;Shining;1
Incrustation;Organic coating;1
Incrustation;Graphite coating;1
Incrustation;Silica coating;1
Incrustation;Smudging;1
Incrustation;Open firing;1
Incrustation;Enclosed firing;1
Incrustation;Direct flame kilns;1
Incrustation;Indirect flame kilns;1
Incrustation;Radiant heat kilns;1
Application;Drying to leather-hard;1
Application;Drying to dry;1
Application;Softening;1
Application;Burnishing;1
Application;Shining;1
Application;Clay coating;1
Application;Simple impression;1
Application;Tilted impression;1
Application;Rolled impression;1
Application;Stamped impression;1
Application;Paddled impression;1
Application;Simple incision;1
Application;Pivoting incision;1
Application;Decorative scraping;1
Application;Excisions;1
Application;Decorative modelling;1
Decorative modelling;Drying to leather-hard;1
Decorative modelling;Clay coating;1
Decorative modelling;Simple impression;1
Decorative modelling;Tilted impression;1
Decorative modelling;Rolled impression;1
Decorative modelling;Stamped impression;1
Decorative modelling;Simple incision;1
Decorative modelling;Pivoting incision;1
Decorative modelling;Decorative scraping;1
Decorative modelling;Excisions;1
Decorative modelling;Application;1
Open firing;Organic coating;1
Open firing;Silica coating;1
Open firing;Smudging;1
Open firing;Painting;1
Open firing;Engraving;1
Open firing;Incrustation;1
Enclosed firing;Organic coating;1
Enclosed firing;Silica coating;1
Enclosed firing;Smudging;1
Enclosed firing;Painting;1
Enclosed firing;Engraving;1
Enclosed firing;Incrustation;1
Direct flame kilns;Organic coating;1
Direct flame kilns;Silica coating;1
Direct flame kilns;Smudging;1
Direct flame kilns;Painting;1
Direct flame kilns;Engraving;1
Direct flame kilns;Incrustation;1
Indirect flame kilns;Organic coating;1
Indirect flame kilns;Silica coating;1
Indirect flame kilns;Smudging;1
Indirect flame kilns;Painting;1
Indirect flame kilns;Engraving;1
Indirect flame kilns;Incrustation;1
Radiant heat kilns;Organic coating;1
Radiant heat kilns;Silica coating;1
Radiant heat kilns;Smudging;1
Radiant heat kilns;Painting;1
Radiant heat kilns;Engraving;1
Radiant heat kilns;Incrustation;1
