Source;Target;Weight
Simple impression;Tilted impression;0
Simple impression;Rolled impression;0
Simple impression;Stamped impression;0
Simple impression;Simple incision;0
Simple impression;Pivoting incision;0
Simple impression;Decorative scraping;0
Simple impression;Excisions;0
Simple impression;Application;0
Simple impression;Decorative modelling;0
Tilted impression;Drying to leather-hard;0
Tilted impression;Clay coating;0
Tilted impression;Simple impression;0
Tilted impression;Rolled impression;0
Tilted impression;Stamped impression;0
Tilted impression;Simple incision;0
Tilted impression;Pivoting incision;0
Tilted impression;Decorative scraping;0
Tilted impression;Excisions;0
Tilted impression;Application;0
Tilted impression;Decorative modelling;0
Rolled impression;Drying to leather-hard;0
Rolled impression;Clay coating;0
Rolled impression;Simple impression;0
Rolled impression;Tilted impression;0
Rolled impression;Stamped impression;0
Rolled impression;Simple incision;0
Rolled impression;Pivoting incision;0
Rolled impression;Decorative scraping;0
Rolled impression;Excisions;0
Rolled impression;Application;0
Rolled impression;Decorative modelling;0
Stamped impression;Drying to leather-hard;0
Stamped impression;Clay coating;0
Stamped impression;Simple impression;0
Stamped impression;Tilted impression;0
Stamped impression;Rolled impression;0
Stamped impression;Simple incision;0
Stamped impression;Pivoting incision;0
Stamped impression;Decorative scraping;0
Stamped impression;Excisions;0
Stamped impression;Application;0
Stamped impression;Decorative modelling;0
Paddled impression;Drying to dry;0
Paddled impression;Softening;0
Paddled impression;Burnishing;0
Paddled impression;Shining;0
Paddled impression;Clay coating;0
Paddled impression;Simple incision;0
Paddled impression;Pivoting incision;0
Paddled impression;Decorative scraping;0
Paddled impression;Excisions;0
Paddled impression;Incrustation;0
Paddled impression;Application;0
Simple incision;Drying to leather-hard;0
Simple incision;Drying to dry;0
Simple incision;Softening;0
Simple incision;Burnishing;0
Simple incision;Shining;0
Simple incision;Clay coating;0
Simple incision;Organic coating;0
Simple incision;Graphite coating;0
Simple incision;Silica coating;0
Simple incision;Painting;0
Simple incision;Simple impression;0
Simple incision;Tilted impression;0
Simple incision;Rolled impression;0
Simple incision;Stamped impression;0
Simple incision;Paddled impression;0
Simple incision;Pivoting incision;0
Simple incision;Decorative scraping;0
Simple incision;Excisions;0
Simple incision;Incrustation;0
Simple incision;Application;0
Simple incision;Decorative modelling;0
Pivoting incision;Drying to leather-hard;0
Pivoting incision;Drying to dry;0
Pivoting incision;Softening;0
Pivoting incision;Burnishing;0
Pivoting incision;Shining;0
Pivoting incision;Clay coating;0
Pivoting incision;Organic coating;0
Pivoting incision;Graphite coating;0
Pivoting incision;Silica coating;0
Pivoting incision;Painting;0
Pivoting incision;Simple impression;0
Pivoting incision;Tilted impression;0
Pivoting incision;Rolled impression;0
Pivoting incision;Stamped impression;0
Pivoting incision;Paddled impression;0
Pivoting incision;Simple incision;0
Pivoting incision;Decorative scraping;0
Pivoting incision;Excisions;0
Pivoting incision;Incrustation;0
Pivoting incision;Application;0
Pivoting incision;Decorative modelling;0
Decorative scraping;Drying to leather-hard;0
Decorative scraping;Drying to dry;0
Decorative scraping;Softening;0
Decorative scraping;Burnishing;0
Decorative scraping;Shining;0
Decorative scraping;Clay coating;0
Decorative scraping;Organic coating;0
Decorative scraping;Graphite coating;0
Decorative scraping;Silica coating;0
Decorative scraping;Painting;0
Decorative scraping;Simple impression;0
Decorative scraping;Tilted impression;0
Decorative scraping;Rolled impression;0
Decorative scraping;Stamped impression;0
Decorative scraping;Paddled impression;0
Decorative scraping;Simple incision;0
Decorative scraping;Pivoting incision;0
Decorative scraping;Excisions;0
Decorative scraping;Incrustation;0
Decorative scraping;Application;0
Decorative scraping;Decorative modelling;0
Engraving;Organic coating;0
Engraving;Silica coating;0
Engraving;Smudging;0
Engraving;Painting;0
Engraving;Incrustation;0
Engraving;Open firing;0
Engraving;Enclosed firing;0
Engraving;Direct flame kilns;0
Engraving;Indirect flame kilns;0
Engraving;Radiant heat kilns;0
Excisions;Drying to leather-hard;8
Excisions;Drying to dry;0
Excisions;Softening;0
Excisions;Burnishing;0
Excisions;Shining;0
Excisions;Clay coating;0
Excisions;Painting;0
Excisions;Simple impression;0
Excisions;Tilted impression;0
Excisions;Rolled impression;0
Excisions;Stamped impression;0
Excisions;Paddled impression;0
Excisions;Simple incision;0
Excisions;Pivoting incision;0
Excisions;Decorative scraping;0
Excisions;Incrustation;0
Excisions;Application;0
Excisions;Decorative modelling;0
Incrustation;Drying to dry;0
Incrustation;Softening;0
Incrustation;Burnishing;0
Incrustation;Shining;0
Incrustation;Organic coating;0
Incrustation;Graphite coating;0
Incrustation;Silica coating;0
Incrustation;Smudging;0
Incrustation;Open firing;0
Incrustation;Enclosed firing;0
Incrustation;Direct flame kilns;0
Incrustation;Indirect flame kilns;0
Incrustation;Radiant heat kilns;0
Application;Drying to leather-hard;0
Application;Drying to dry;0
Application;Softening;0
Application;Burnishing;0
Application;Shining;0
Application;Clay coating;0
Application;Simple impression;0
Application;Tilted impression;0
Application;Rolled impression;0
Application;Stamped impression;0
Application;Paddled impression;0
Application;Simple incision;0
Application;Pivoting incision;0
Application;Decorative scraping;0
Application;Excisions;0
Application;Decorative modelling;0
Decorative modelling;Drying to leather-hard;0
Decorative modelling;Clay coating;0
Decorative modelling;Simple impression;0
Decorative modelling;Tilted impression;0
Decorative modelling;Rolled impression;0
Decorative modelling;Stamped impression;0
Decorative modelling;Simple incision;0
Decorative modelling;Pivoting incision;0
Decorative modelling;Decorative scraping;0
Decorative modelling;Excisions;0
Decorative modelling;Application;0
Open firing;Organic coating;0
Open firing;Silica coating;0
Open firing;Smudging;0
Open firing;Painting;0
Open firing;Engraving;0
Open firing;Incrustation;0
Enclosed firing;Organic coating;0
Enclosed firing;Silica coating;0
Enclosed firing;Smudging;0
Enclosed firing;Painting;0
Enclosed firing;Engraving;0
Enclosed firing;Incrustation;0
Direct flame kilns;Organic coating;0
Direct flame kilns;Silica coating;0
Direct flame kilns;Smudging;0
Direct flame kilns;Painting;0
Direct flame kilns;Engraving;0
Direct flame kilns;Incrustation;0
Indirect flame kilns;Organic coating;0
Indirect flame kilns;Silica coating;0
Indirect flame kilns;Smudging;0
Indirect flame kilns;Painting;0
Indirect flame kilns;Engraving;0
Indirect flame kilns;Incrustation;0
Radiant heat kilns;Organic coating;0
Radiant heat kilns;Silica coating;0
Radiant heat kilns;Smudging;0
Radiant heat kilns;Painting;0
Radiant heat kilns;Engraving;0
Radiant heat kilns;Incrustation;0
